CUSEC;Barrio;Distrito;Poblacion;Shape__Are;xcoord;ycoord
4109101014;SAN LORENZO;Casco Antiguo;1251;318994.1179;-5.99816;37.40119
4109101012;SAN VICENTE;Casco Antiguo;1307;79308.85962;-5.99699;37.39598
4109101010;SAN VICENTE;Casco Antiguo;1407;311583.8643;-6.00307;37.3954
4109101021;SAN VICENTE;Casco Antiguo;982;64279.02319;-5.99976;37.39437
4109101019;SAN GIL;Casco Antiguo;931;50565.18018;-5.99268;37.40211
4109101006;ENCARNACION REGINA;Casco Antiguo;1139;109226.7952;-5.99358;37.39449
4109101027;MUSEO;Casco Antiguo;1391;314659.9358;-6.00256;37.39126
4109101023;FERIA;Casco Antiguo;2329;146176.5396;-5.98961;37.39875
4109101008;SAN JULIAN;Casco Antiguo;1395;70579.34766;-5.98498;37.39933
4109101009;SAN VICENTE;Casco Antiguo;876;52102.25562;-6.00142;37.39463
4109101002;FERIA;Casco Antiguo;950;77461.28052;-5.98904;37.3959
4109101020;SAN GIL;Casco Antiguo;972;50954.1106;-5.99179;37.4012
4109101013;SAN VICENTE;Casco Antiguo;1020;106996.1218;-6.00039;37.39771
4109104028;LOS PAJAROS;Cerro Amate;795;60709.0752;-5.95592;37.38405
4109106023;TRIANA ESTE;Triana;821;43979.91553;-6.00495;37.37954
4109104035;ROCHELAMBERT;Cerro Amate;1449;78884.0791;-5.95308;37.37784
4109104033;JUAN XXIII;Cerro Amate;1156;102626.6489;-5.95158;37.37432
4109101046;ALFALFA;Casco Antiguo;1636;117105.9033;-5.99056;37.38992
4109101039;ARENAL;Casco Antiguo;1226;126830.6506;-5.99836;37.38811
4109102013;LA PALMILLA DOCTOR MARAÑON;Macarena;1623;59137.81421;-5.98669;37.40827
4109102002;HERMANDADES LA CARRASCA;Macarena;671;27086.04639;-5.98171;37.40922
4109103017;LA BUHAIRA;Nervión;1435;319002.7183;-5.97854;37.382
4109103006;HUERTA DEL PILAR;Nervión;1613;116437.2332;-5.97538;37.38502
4109103032;LA BUHAIRA;Nervión;2169;162512.8796;-5.97157;37.38624
4109103025;NERVION;Nervión;1153;78651.12061;-5.96454;37.38412
4109102047;POLIGONO NORTE;Macarena;1614;56593.04688;-5.97895;37.41345
4109102039;LA PAZ LAS GOLONDRINAS;Macarena;683;45610.6499;-5.98562;37.41269
4109102066;SANTA MARIA DE ORDAS SAN NICOLAS;Macarena;904;31994.14697;-5.9755;37.40317
