CUSEC;Barrio;Distrito;Población_Total;H_total;M_Total;H_00_Entre_0_y_4_años;H_01_Entre_5_y_9_años;H_02_Entre_10_y_14_años;H_03_Entre_15_y_19_años;H_04_Entre_20_y_24_años;H_05_Entre_25_y_29_años;H_06_Entre_30_y_34_años;H_07_Entre_35_y_39_años;H_08_Entre_40_y_44_años;H_09_Entre_45_y_49_años;H_10_Entre_50_y_54_años;H_11_Entre_55_y_59_años;H_12_Entre_60_y_64_años;H_13_Entre_65_y_69_años;H_14_Entre_70_y_74_años;H_15_Entre_75_y_79_años;H_16_Entre_80_y_84_años;H_17_Entre_85_y_89_años;H_18_Entre_90_y_más_años;M_00_Entre_0_y_4_años;M_01_Entre_5_y_9_años;M_02_Entre_10_y_14_años;M_03_Entre_15_y_19_años;M_04_Entre_20_y_24_años;M_05_Entre_25_y_29_años;M_06_Entre_30_y_34_años;M_07_Entre_35_y_39_años;M_08_Entre_40_y_44_años;M_09_Entre_45_y_49_años;M_10_Entre_50_y_54_años;M_11_Entre_55_y_59_años;M_12_Entre_60_y_64_años;M_13_Entre_65_y_69_años;M_14_Entre_70_y_74_años;M_15_Entre_75_y_79_años;M_16_Entre_80_y_84_años;M_17_Entre_85_y_89_años;M_18_Entre_90_y_más_años;Shape__Area;Shape__Length
4109101018;SAN GIL;Casco Antiguo;1390;672;718;42;39;26;24;13;22;41;72;84;72;67;46;22;32;22;16;20;9;3;30;27;34;25;20;36;54;62;78;72;56;43;37;43;24;30;24;17;6;96888.20166;1486.233392
4109101029;SAN JULIAN;Casco Antiguo;1836;868;968;48;36;49;30;24;50;68;98;89;77;74;65;57;31;24;24;11;8;5;32;38;47;25;22;54;76;83;82;81;77;68;60;62;53;36;29;27;16;140741.0391;1945.684405
4109102004;CRUZ ROJA CAPUCHINOS;Macarena;709;325;384;8;20;15;8;19;10;26;21;32;28;29;23;18;24;10;20;6;7;1;14;17;14;13;11;22;24;25;27;34;26;30;36;17;21;18;17;15;3;68993.89063;1262.307751
4109102011;EL ROCIO;Macarena;2025;989;1036;56;53;61;55;76;57;76;91;91;96;63;45;37;16;38;40;20;13;5;39;46;48;38;50;75;89;96;90;85;77;46;37;40;61;52;36;23;8;61515.78784;1032.815232
4109102018;LOS PRINCIPES LA FONTANILLA;Macarena;1040;478;562;12;20;14;15;22;32;45;27;22;23;28;40;55;43;30;25;15;5;5;6;15;9;13;36;30;36;29;20;28;39;55;76;56;38;25;28;14;9;39400.78247;811.9612875
4109102029;HERMANDADES LA CARRASCA;Macarena;742;351;391;14;16;21;14;25;16;21;22;33;18;30;12;11;12;37;32;9;6;2;15;12;13;13;15;12;26;25;34;34;18;16;11;22;67;22;15;18;3;27208.67676;706.0262774
4109102039;LA PAZ LAS GOLONDRINAS;Macarena;683;333;350;17;13;12;13;15;19;24;30;27;28;21;10;14;15;32;20;15;7;1;5;11;9;6;11;15;24;28;24;22;26;18;18;27;50;27;15;10;4;45610.6499;1008.590333
4109102047;POLIGONO NORTE;Macarena;1614;815;799;47;56;50;60;49;66;50;56;56;74;62;66;47;17;11;20;14;8;6;35;36;53;43;54;48;60;52;55;53;73;58;26;20;46;43;26;15;3;56593.04688;1016.029827
4109102058;POLIGONO NORTE;Macarena;1140;544;596;21;24;36;37;42;36;39;46;34;48;41;45;26;16;22;19;10;1;1;19;22;42;22;38;40;34;48;47;49;51;31;38;17;47;25;17;5;4;45424.63599;938.3741638
4109102066;SANTA MARIA DE ORDAS SAN NICOLAS;Macarena;904;396;508;17;17;16;10;10;17;16;38;39;27;22;20;14;25;37;33;22;9;7;16;17;13;12;11;20;29;35;41;20;20;40;32;38;50;44;35;21;14;31994.14697;809.6330752
4109103006;HUERTA DEL PILAR;Nervión;1613;758;855;36;42;55;34;31;30;40;41;70;46;51;39;39;69;71;32;19;11;2;36;36;35;40;33;33;27;56;57;56;44;49;72;93;83;39;31;24;11;116437.2332;2272.916378
4109103017;LA BUHAIRA;Nervión;1435;733;702;35;33;61;52;45;54;49;30;36;55;56;65;61;47;29;14;5;4;2;28;24;39;35;40;53;45;31;48;52;61;71;72;37;27;7;16;9;7;319002.7183;2469.796102
4109103025;NERVION;Nervión;1153;514;639;22;26;27;16;16;29;36;36;43;51;33;38;29;22;30;31;14;9;6;18;20;18;19;24;32;30;45;57;50;49;45;33;30;62;37;33;24;13;78651.12061;1280.105865
4109103032;LA BUHAIRA;Nervión;2169;981;1188;51;52;46;35;47;55;59;72;83;73;67;55;49;68;77;49;33;8;2;51;63;50;45;49;46;60;88;90;77;67;59;85;128;96;54;39;28;13;162512.8796;1749.3897
4109101039;ARENAL;Casco Antiguo;1226;572;654;27;18;21;21;30;24;39;46;52;45;46;41;43;39;29;20;18;9;4;21;23;19;39;20;29;48;53;45;47;43;47;67;39;26;29;26;20;13;126830.6506;2372.448144
4109101046;ALFALFA;Casco Antiguo;1636;791;845;21;33;31;37;33;49;58;48;66;67;74;53;59;47;44;26;24;19;2;34;32;30;30;34;64;57;56;80;66;66;63;52;56;29;37;35;10;14;117105.9033;1673.528587
4109102002;HERMANDADES LA CARRASCA;Macarena;671;295;376;10;14;11;7;12;20;20;17;29;23;16;15;11;15;22;32;11;8;2;8;12;14;10;14;18;19;30;23;33;24;10;16;22;49;38;17;11;8;27086.04639;811.3135975
4109102013;LA PALMILLA DOCTOR MARAÑON;Macarena;1623;753;870;27;29;39;29;55;58;69;77;70;81;55;33;23;26;21;16;23;17;5;25;43;26;36;44;59;73;76;75;65;61;33;38;25;44;43;59;28;17;59137.81421;1023.343511
4109102020;MACARENA TRES HUERTAS MACARENA CINCO;Macarena;1396;694;702;28;32;28;23;39;35;64;52;57;36;45;49;68;53;43;25;11;5;1;19;22;28;17;25;35;39;46;35;48;40;75;99;68;45;27;17;12;5;150643.5505;1621.265312
4109102027;LOS PRINCIPES LA FONTANILLA;Macarena;2065;981;1084;44;74;74;40;53;73;60;64;86;74;48;68;112;54;28;21;4;2;2;60;68;88;50;43;71;83;63;92;67;61;110;102;50;29;17;10;7;13;537030.0466;4266.909019
4109102041;VILLEGAS;Macarena;975;462;513;24;29;34;24;18;25;43;39;52;30;31;28;13;24;21;18;4;4;1;25;24;29;29;18;43;34;50;42;33;33;20;32;29;31;17;13;7;4;34186.07642;893.8603964
4109102049;VILLEGAS;Macarena;1331;642;689;25;31;34;31;35;50;41;63;53;43;52;56;45;30;26;12;8;6;1;24;36;27;24;49;39;49;50;54;54;52;58;65;42;21;18;16;9;2;41904.92896;981.434075
4109102056;CAMPOS DE SORIA;Macarena;1376;646;730;14;28;26;28;34;71;37;34;44;44;47;79;47;23;38;23;19;9;1;14;29;25;25;44;54;36;35;54;61;56;83;37;45;46;38;30;10;8;47956.44702;1087.027212
4109103001;SAN ROQUE;Nervión;1808;843;965;30;42;54;34;33;39;51;80;65;63;72;41;65;49;49;37;22;13;4;33;37;34;33;51;51;54;73;72;77;72;64;73;63;65;44;28;22;19;84741.12769;1720.345449
4109103008;LA CALZADA;Nervión;1145;476;669;18;20;16;16;21;17;30;41;42;30;41;25;33;39;31;26;18;9;3;34;12;24;28;24;18;40;36;39;35;40;43;45;44;42;46;51;35;33;144142.0261;2372.544675
4109103015;NERVION;Nervión;1133;519;614;18;16;27;26;31;27;30;26;32;44;39;40;31;28;34;30;25;11;4;18;24;38;27;22;33;26;24;40;51;42;53;34;40;49;38;26;21;8;169829.5833;1663.269287
4109103027;SAN BERNARDO;Nervión;1406;645;761;34;29;29;50;35;29;38;43;38;59;54;39;43;42;34;18;19;9;3;23;25;29;43;34;23;48;47;50;56;76;62;61;57;29;37;27;20;14;253576.0386;2126.078412
4109103034;NERVION;Nervión;981;428;553;19;23;29;26;18;26;17;16;35;36;31;25;18;17;26;29;15;16;6;16;31;27;21;21;25;30;22;40;38;44;38;29;28;39;31;43;16;14;45746.77295;1080.267334
4109103041;HUERTA DEL PILAR;Nervión;1969;942;1027;40;41;47;54;67;68;67;69;51;49;53;86;86;71;52;26;6;7;2;48;41;37;58;53;62;69;53;62;62;91;101;104;82;47;26;9;13;9;94110.94824;1264.606686
4109101025;SAN GIL;Casco Antiguo;2199;1032;1167;43;53;63;40;49;49;65;100;103;122;107;69;53;35;24;25;15;13;4;32;58;46;58;43;60;63;89;113;106;103;82;73;55;40;41;38;33;34;148160.8557;2057.832905
4109101043;SANTA CRUZ;Casco Antiguo;1163;554;609;29;20;24;37;20;34;31;42;39;28;43;66;38;35;22;28;12;3;3;16;20;31;24;33;36;42;37;41;40;62;45;41;29;35;24;19;19;15;133839.8477;1841.948438
4109102005;CRUZ ROJA CAPUCHINOS;Macarena;1872;855;1017;36;62;64;54;38;37;54;60;80;95;69;55;50;24;26;23;11;10;7;53;51;55;40;52;39;65;73;91;99;93;66;34;37;40;36;28;33;32;160727.3447;2024.296875
4109102007;RETIRO OBRERO;Macarena;1278;583;695;30;41;37;45;28;22;27;35;50;52;55;50;23;19;12;26;17;12;2;22;23;24;36;30;38;29;45;62;55;78;58;22;25;27;43;35;24;19;91626.40991;1286.601337
4109102009;LA BARZOLA;Macarena;1387;633;754;28;32;29;25;42;45;38;42;57;51;53;54;40;21;30;16;15;11;4;30;23;39;23;31;43;37;57;51;58;62;50;38;45;42;41;37;31;16;80708.24609;1255.081149
4109102022;PIO XII;Macarena;981;438;543;19;22;17;31;20;21;26;39;47;46;25;30;26;20;16;13;6;8;6;26;20;29;24;18;27;27;42;51;43;41;32;22;22;33;25;28;25;8;46575.54736;1080.771175
4109102024;SANTA MARIA DE ORDAS SAN NICOLAS;Macarena;1171;530;641;20;22;26;18;24;20;22;39;53;43;39;36;23;20;51;37;18;15;4;24;25;23;15;22;31;21;38;41;49;44;37;36;54;55;60;29;21;16;76393.98657;1329.647962
4109102042;POLIGONO NORTE;Macarena;925;443;482;16;22;22;21;40;36;26;29;32;34;47;25;22;16;20;16;12;6;1;15;16;27;35;28;26;26;29;33;32;42;35;19;22;31;24;23;12;7;53622.30103;1040.865638
4109102044;DOCTOR BARRAQUER GRUPO RENFE POLICLINICO;Macarena;1956;880;1076;46;39;45;40;38;45;54;72;89;85;74;64;48;46;33;32;17;5;8;45;52;57;57;54;46;68;74;96;73;89;95;63;59;55;34;21;19;19;239430.686;2091.234866
4109102060;LEON XIII LOS NARANJOS;Macarena;893;462;431;13;22;15;9;10;21;19;48;57;59;58;41;23;18;19;11;6;9;4;17;19;17;14;15;17;25;37;31;32;36;35;23;18;23;21;25;20;6;82368.25684;1214.589396
4109102063;LAS AVENIDAS;Macarena;830;362;468;15;12;15;13;20;26;22;33;32;22;29;29;16;12;19;25;12;7;3;13;17;15;19;21;22;30;34;38;20;32;33;29;21;36;27;29;19;13;34784.17139;767.8799222
4109103011;NERVION;Nervión;838;386;452;15;22;31;29;23;17;18;21;33;32;36;21;24;25;18;11;9;0;1;10;26;27;28;34;12;14;22;33;43;33;37;22;33;18;23;14;14;9;94849.92871;1468.992289
4109103013;LA BUHAIRA;Nervión;1439;632;807;40;31;29;28;32;30;33;42;49;49;37;46;34;31;40;36;21;15;9;39;34;31;24;33;42;41;47;58;48;47;53;51;47;60;52;43;29;28;69130.34497;1084.291422
4109103029;NERVION;Nervión;680;303;377;8;14;18;26;23;12;15;11;23;21;28;20;19;7;13;12;23;9;1;11;11;16;13;30;15;10;16;15;34;34;31;21;17;22;28;23;19;11;47661.01929;1194.465807
4109103031;HUERTA DEL PILAR;Nervión;853;389;464;35;21;22;12;13;20;24;33;38;36;33;13;20;11;21;16;11;8;2;27;17;25;14;19;14;22;40;49;33;35;27;22;23;34;20;23;14;6;50557.01953;1099.619021
4109104005;LOS PAJAROS;Cerro Amate;1520;748;772;47;46;39;30;49;54;70;77;69;56;51;46;38;26;15;17;8;8;2;35;33;45;46;48;48;65;69;62;49;65;47;44;22;20;18;26;23;7;55720.2627;1501.93063
4109101034;MUSEO;Casco Antiguo;1354;601;753;26;25;26;33;29;30;35;46;50;38;42;48;45;32;26;34;15;13;8;19;31;16;36;34;50;45;49;46;50;47;57;51;49;46;44;29;31;23;88596.1377;1471.103666
4109101048;SANTA CATALINA;Casco Antiguo;1353;630;723;25;24;34;31;22;30;48;63;61;58;65;55;27;36;12;17;9;10;3;29;26;39;33;33;32;53;56;68;61;68;38;44;34;34;20;24;21;10;98168.13135;1495.300219
4109101051;SAN BARTOLOME;Casco Antiguo;1470;667;803;26;19;35;32;34;42;37;55;55;62;62;47;50;40;33;18;11;6;3;25;26;33;37;44;50;63;55;52;79;62;61;60;34;34;27;24;26;11;132378.2209;2014.950363
4109102014;LAS AVENIDAS;Macarena;947;400;547;13;10;10;20;22;26;30;31;39;30;37;14;23;16;25;29;17;4;4;18;13;17;30;30;30;54;42;32;41;21;32;19;32;56;27;25;17;11;47713.68579;933.262871
